ds,yhat,yhat_lower,yhat_upper
2023-09-17,11560.21483007905,-17369.170348414176,40393.040141290454
2023-09-18,11825.290446416597,-15958.17361567264,39266.554870099935
2023-09-19,12124.118688056195,-17319.206341724093,42402.28367832713
2023-09-20,12589.767928963032,-14675.391180085613,39484.85803994545
2023-09-21,11089.641264760936,-16791.262060222223,40624.17390347527
2023-09-22,9622.917616338953,-19002.13019604238,38561.02601838294
2023-09-23,9932.817935712035,-18772.446693275273,37403.69220060431
2023-09-24,8418.287027356513,-19775.625011540506,37687.394795699074
2023-09-25,9126.922341035262,-20727.191358638895,37995.55573152072
2023-09-26,9940.049710799183,-17075.287728613792,37677.56281326978
2023-09-27,10975.043821119614,-15985.34947950529,39606.5708272469
2023-09-28,10081.915633177436,-19487.048386479328,37825.691591807095
2023-09-29,9241.671206967487,-18924.87625967163,37676.09641769555
2023-09-30,10178.958895448512,-18130.57294649284,39396.357171822296
2023-10-01,9274.282314903443,-20834.999971287845,37696.13182894429
2023-10-02,10557.455188874786,-17414.79297552908,38306.38212806093
2023-10-03,11893.183178667525,-18349.684524181263,38020.470712791204
2023-10-04,13383.715832834985,-14923.783538942815,42897.17789126211
2023-10-05,12866.278988340699,-14966.308740378316,40256.12885928475
2023-10-06,12311.376921323808,-16057.6554510993,42333.68295757458
2023-10-07,13435.873822639944,-14445.742623095115,43834.370572742795
2023-10-08,12615.422022995972,-15456.369325309668,40659.68626879406
2023-10-09,13878.047132595024,-14988.285347807447,43032.568076041054
2023-10-10,15089.771388422094,-13889.477047639748,44094.14629426694
2023-10-11,16357.217059088223,-12194.37870975068,44497.99192538429
2023-10-12,15524.9015446995,-13852.375718075999,46124.660234386654
2023-10-13,14573.317335699567,-17018.478213512753,42588.3514308448
2023-10-14,15231.712735392477,-11439.492655261369,44601.22685178713
2023-10-15,13890.149392339754,-15558.444828866352,43415.09461952643
2023-10-16,14592.657482986197,-13242.155711931428,43768.78275549737
2023-10-17,15222.382268494646,-13955.817773904399,42772.19125199627
2023-10-18,15903.677710074606,-12660.921673657356,44545.38442041284
2023-10-19,14498.873623817191,-14091.987463122667,44073.806306063096
2023-10-20,13005.832064039241,-15563.895822859744,40706.942332658575
2023-10-21,13170.18891468192,-15009.05080641144,45178.749313582666
2023-10-22,11396.942964377931,-18605.685380683834,40704.878113945655
2023-10-23,11743.156815948132,-16879.185258234516,39162.52788770604
2023-10-24,12102.712146638838,-18058.810865194573,42479.48286325989
2023-10-25,12608.079626842617,-15364.469098407993,43665.827817461846
2023-10-26,11126.839767138259,-16920.66547545714,39634.459511358116
2023-10-27,9659.070844551334,-18720.983529605735,38632.60365016119
2023-10-28,9949.540474160014,-19351.827340147574,40029.58836714201
2023-10-29,8399.294593271108,-23162.593844914627,37544.314129774204
2023-10-30,9058.478945606439,-23272.113984089876,36202.6309272592
2023-10-31,9811.297127058968,-17119.379251988834,39263.090214681106
2023-11-01,10778.066981767852,-20363.111888504664,39511.43496527669
2023-11-02,9812.103498350478,-19044.61326043162,38876.049993777786
2023-11-03,8897.533956937055,-18625.21399902561,38117.30603243052
2023-11-04,9761.969503972354,-19571.540529156853,38169.354260902925
2023-11-05,8788.612894998005,-20764.067664728613,38412.10845299275
2023-11-06,10009.622230283763,-18211.76480601594,41234.41008889129
2023-11-07,11291.618686953798,-17195.507518646024,39786.84302955519
2023-11-08,12738.283650954403,-18798.58095647664,42461.989561326176
2023-11-09,12187.75716558558,-17569.414016842835,39020.07737925293
2023-11-10,11610.927846024424,-17435.18803353632,40450.708397541195
2023-11-11,12724.525923251556,-13856.974275924757,43107.37079591861
2023-11-12,11903.576225717148,-17536.22403786746,41917.85555607521
2023-11-13,13175.039792778416,-16251.081766654443,42002.43266772088
2023-11-14,14403.503425541254,-14607.896895354954,42457.30865232652
2023-11-15,15693.866298833003,-12683.171130668487,46496.18688221024
2023-11-16,14888.73006930192,-13737.481262636922,42852.00321272841
2023-11-17,13966.582011995702,-16163.412005824679,43206.547236714
2023-11-18,14654.683155968538,-16177.808094305612,44098.27492844319
2023-11-19,13341.233357130859,-15447.749900066383,42638.79948132683
2023-11-20,14068.63000254962,-15438.664923910826,42240.128641268435
2023-11-21,14718.710022298046,-14906.166608746507,43669.08358493615
2023-11-22,15414.927079456998,-12876.043473333844,45833.252918372535
2023-11-23,14019.18696849664,-14567.65264928364,41139.52997050393
2023-11-24,12529.446844250098,-16928.273099391674,41599.724596122294
2023-11-25,12692.007368892788,-15859.056722768217,42074.42642444323
2023-11-26,10913.0873657249,-17835.532523710448,39053.057603374364
2023-11-27,11251.515344819218,-17435.630777659735,39374.744963179204
2023-11-28,11603.444748899148,-17417.47817360721,41757.36296936451
2023-11-29,12104.060954844323,-17023.93019587706,38624.95179472099
2023-11-30,10624.017734028166,-17487.658861021293,39602.34074344903
2023-12-01,9166.721529395862,-18428.81433358434,35173.19002430403
2023-12-02,9480.40304186924,-20082.61731345283,37545.28260416597
2023-12-03,7969.573478944261,-22283.345474417598,36625.2159127936
2023-12-04,8687.704572132945,-18682.834677463212,39195.70800725447
2023-12-05,9522.041136883528,-20565.08344805991,38572.01107590338
2023-12-06,10595.512604771351,-17280.24347667124,38353.18512188022
2023-12-07,9763.476731887951,-18562.59806119528,40612.961742677304
2023-12-08,9011.406168853006,-21990.683049341293,37552.600363882004
2023-12-09,10067.446855457747,-18637.622183462976,38553.018044896715
2023-12-10,9314.432443063566,-17005.514027094134,38790.00297647163
2023-12-11,10783.178561251556,-16254.671390694632,40786.35444533834
2023-12-12,12337.948314273726,-16075.823782728541,41376.30541968975
2023-12-13,14079.037060159702,-14773.690246366972,41938.91649762499
2023-12-14,13840.190202480004,-14941.623570136413,44220.52837207904
2023-12-15,13586.945040314846,-15787.68427176901,42441.19406983894
2023-12-16,15029.806271803373,-14456.541990748203,42318.44897619738
2023-12-17,14536.820841459594,-12437.242682755716,42914.40502931659
2023-12-18,16127.358833345123,-13714.106618345646,44640.32703634392
2023-12-19,17657.976590521208,-10975.647898319183,45670.86300358959
2023-12-20,19225.297277857433,-8183.578305210498,47275.80424431535
2023-12-21,18663.6125503503,-9079.127546507478,47065.0267919999
